Reaction ID	Reaction name	Relative objective flux change
14GLUCANabcpp	1,4-alpha-D-glucan transport via ABC system (periplasm)	0.9999999999999962
14GLUCANtexi	1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible	0.9999999999999962
23PDE2pp	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)	0.9999999999999962
23PDE4pp	2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)	0.9999999999999962
23PDE7pp	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)	0.9999999999999962
23PDE9pp	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	0.9999999999999962
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	0.9999999999999962
2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	0.9999999999999962
2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	0.9999999999999962
2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	0.9999999999999962
2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	0.9999999999999962
2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	0.9999999999999962
2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	0.9999999999999962
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	0.9999999999999962
2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	0.9999999999999962
2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	0.9999999999999962
